GAME_ID,TEAM0_TEAM_ABBREVIATION,TEAM0_PTS,TEAM0_REB,TEAM0_AST,TEAM0_FG_PCT,TEAM0_TO,TEAM0_PLUS_MINUS,TEAM0_TEAM_ORDER,TEAM1_TEAM_ABBREVIATION,TEAM1_PTS,TEAM1_REB,TEAM1_AST,TEAM1_FG_PCT,TEAM1_TO,TEAM1_PLUS_MINUS,TEAM1_TEAM_ORDER,TEAM0_WIN,TEAM0_GAME_DATE,TEAM1_GAME_DATE,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO,TEAM0_ELO,TEAM1_ELO
22300068,MIA,103.0,48.0,22.0,0.402,,,0,DET,102.0,56.0,28.0,0.446,,,1,1,2023-10-25,2023-10-25,1580.063422,1329.565168,1580.063422,1329.565168,1580.063422,1329.565168,1580.063422,1329.565168,1580.063422,1329.565168
22300069,TOR,97.0,47.0,27.0,0.4,,,0,MIN,94.0,62.0,20.0,0.34,,,1,1,2023-10-25,2023-10-25,1546.368677,1516.113883,1546.368677,1516.113883,1546.368677,1516.113883,1546.368677,1516.113883,1546.368677,1516.113883
22300070,OKC,124.0,43.0,30.0,0.549,,,0,CHI,104.0,42.0,26.0,0.415,,,1,1,2023-10-25,2023-10-25,1513.872466,1533.664629,1513.872466,1533.664629,1513.872466,1533.664629,1513.872466,1533.664629,1513.872466,1533.664629
22300071,NOP,111.0,52.0,22.0,0.471,,,0,MEM,104.0,37.0,23.0,0.418,,,1,1,2023-10-25,2023-10-25,1523.612122,1552.461607,1523.612122,1552.461607,1523.612122,1552.461607,1523.612122,1552.461607,1523.612122,1552.461607
22300072,SAC,130.0,45.0,29.0,0.461,,,0,UTA,114.0,54.0,22.0,0.451,,,1,1,2023-10-25,2023-10-25,1529.065537,1437.067855,1529.065537,1437.067855,1529.065537,1437.067855,1529.065537,1437.067855,1529.065537,1437.067855
22300073,DAL,126.0,48.0,24.0,0.475,,,0,SAS,119.0,45.0,33.0,0.517,,,1,1,2023-10-25,2023-10-25,1457.972953,1373.548586,1457.972953,1373.548586,1457.972953,1373.548586,1457.972953,1373.548586,1457.972953,1373.548586
22300074,LAC,123.0,45.0,36.0,0.522,,,0,POR,111.0,40.0,20.0,0.473,,,1,1,2023-10-25,2023-10-25,1518.963983,1358.92594,1518.963983,1358.92594,1518.963983,1358.92594,1518.963983,1358.92594,1518.963983,1358.92594
22300075,MIL,118.0,43.0,20.0,0.506,,,0,PHI,117.0,39.0,25.0,0.513,,,1,1,2023-10-26,2023-10-26,1547.271838,1606.322033,1547.271838,1606.322033,1547.271838,1606.322033,1547.271838,1606.322033,1547.271838,1606.322033
22300076,LAL,100.0,42.0,24.0,0.429,,,0,PHX,95.0,49.0,16.0,0.42,,,1,1,2023-10-26,2023-10-26,1564.307763,,1564.307763,,1564.307763,,1564.307763,,1564.307763,
22300077,DET,111.0,53.0,28.0,0.455,,,0,CHA,99.0,41.0,20.0,0.375,,,1,1,2023-10-27,2023-10-27,1328.824187,,1328.824187,,1328.824187,,1328.824187,,1328.824187,
22300078,DEN,108.0,40.0,27.0,0.466,,,0,MEM,104.0,48.0,22.0,0.435,,,1,1,2023-10-27,2023-10-27,1645.762549,1539.754649,1645.762549,1539.754649,1645.762549,1539.754649,1645.762549,1539.754649,1645.762549,1539.754649
22300079,NYK,126.0,45.0,30.0,0.478,,,0,ATL,120.0,44.0,28.0,0.483,,,1,1,2023-10-27,2023-10-27,1565.122794,1516.640175,1565.122794,1516.640175,1565.122794,1516.640175,1565.122794,1516.640175,1565.122794,1516.640175
22300080,BOS,119.0,55.0,20.0,0.474,,,0,MIA,111.0,45.0,24.0,0.427,,,1,1,2023-10-27,2023-10-27,1631.439542,1580.804403,1631.439542,1580.804403,1631.439542,1580.804403,1631.439542,1580.804403,1631.439542,1580.804403
22300081,OKC,108.0,47.0,22.0,0.46,,,0,CLE,105.0,48.0,20.0,0.413,,,1,1,2023-10-27,2023-10-27,1537.998964,1558.389057,1537.998964,1558.389057,1537.998964,1558.389057,1537.998964,1558.389057,1537.998964,1558.389057
22300082,CHI,104.0,52.0,18.0,0.374,,,0,TOR,103.0,53.0,25.0,0.464,,,1,1,2023-10-27,2023-10-27,1509.53813,1549.617759,1509.53813,1549.617759,1509.53813,1549.617759,1509.53813,1549.617759,1509.53813,1549.617759
22300083,SAS,126.0,43.0,32.0,0.489,,,0,HOU,122.0,43.0,30.0,0.52,,,1,1,2023-10-27,2023-10-27,1364.648022,1363.015786,1364.648022,1363.015786,1364.648022,1363.015786,1364.648022,1363.015786,1364.648022,1363.015786
22300084,DAL,125.0,40.0,20.0,0.484,,,0,BKN,120.0,47.0,30.0,0.489,,,1,1,2023-10-27,2023-10-27,1466.873517,,1466.873517,,1466.873517,,1466.873517,,1466.873517,
22300085,UTA,120.0,45.0,27.0,0.438,,,0,LAC,118.0,36.0,17.0,0.532,,,1,1,2023-10-27,2023-10-27,1422.592856,1522.487287,1422.592856,1522.487287,1422.592856,1522.487287,1422.592856,1522.487287,1422.592856,1522.487287
22300086,ORL,102.0,45.0,22.0,0.456,,,0,POR,97.0,47.0,15.0,0.398,,,1,1,2023-10-27,2023-10-27,1472.125118,1355.402636,1472.125118,1355.402636,1472.125118,1355.402636,1472.125118,1355.402636,1472.125118,1355.402636
22300087,GSW,122.0,39.0,32.0,0.552,,,0,SAC,114.0,41.0,24.0,0.436,,,1,1,2023-10-27,2023-10-27,1559.820057,1543.540536,1559.820057,1543.540536,1559.820057,1543.540536,1559.820057,1543.540536,1559.820057,1543.540536
22300088,DET,118.0,53.0,29.0,0.523,,,0,CHI,102.0,33.0,16.0,0.419,,,1,1,2023-10-28,2023-10-28,1349.648984,1512.736468,1349.648984,1512.736468,1349.648984,1512.736468,1349.648984,1512.736468,1349.648984,1512.736468
22300089,WAS,113.0,45.0,24.0,0.43,,,0,MEM,106.0,45.0,27.0,0.429,,,1,1,2023-10-28,2023-10-28,1439.959599,1533.56936,1439.959599,1533.56936,1439.959599,1533.56936,1439.959599,1533.56936,1439.959599,1533.56936
